状态： 激活

     至                          动作          来自
     -                          --          --
[ 1] Anywhere                   ALLOW IN    127.0.0.0/24              
[ 2] Anywhere                   ALLOW IN    171.0.0.0/24              
[ 3] Anywhere                   ALLOW IN    10.0.0.0/8                
[ 4] Anywhere                   ALLOW IN    172.16.0.0/12             
[ 5] Anywhere                   ALLOW IN    192.168.0.0/16            
[ 6] Anywhere                   ALLOW IN    127.0.0.1                 
[ 7] Anywhere                   ALLOW IN    169.254.0.0/16            
[ 8] Anywhere                   ALLOW IN    203.135.96.145            
[ 9] Anywhere                   ALLOW IN    45.134.83.167             
[10] Anywhere                   DENY IN     31.192.107.227            
[11] Anywhere                   DENY IN     31.0.0.0/8                
[12] Anywhere                   ALLOW IN    1.0.1.0/24                
[13] Anywhere                   ALLOW IN    1.0.2.0/23                
[14] Anywhere                   ALLOW IN    1.0.8.0/21                
[15] Anywhere                   ALLOW IN    1.0.32.0/19               
[16] Anywhere                   ALLOW IN    1.1.0.0/24                
[17] Anywhere                   ALLOW IN    1.1.2.0/23                
[18] Anywhere                   ALLOW IN    1.1.4.0/22                
[19] Anywhere                   ALLOW IN    1.1.8.0/21                
[20] Anywhere                   ALLOW IN    1.1.16.0/20               
[21] Anywhere                   ALLOW IN    1.1.32.0/19               
[22] Anywhere                   ALLOW IN    1.2.0.0/23                
[23] Anywhere                   ALLOW IN    1.2.2.0/24                
[24] Anywhere                   ALLOW IN    1.2.4.0/22                
[25] Anywhere                   ALLOW IN    1.2.8.0/21                
[26] Anywhere                   ALLOW IN    1.2.16.0/20               
[27] Anywhere                   ALLOW IN    1.2.32.0/19               
[28] Anywhere                   ALLOW IN    1.2.64.0/18               
[29] Anywhere                   ALLOW IN    1.3.0.0/16                
[30] Anywhere                   ALLOW IN    1.4.1.0/24                
[31] Anywhere                   ALLOW IN    1.4.2.0/23                
[32] Anywhere                   ALLOW IN    1.4.4.0/22                
[33] Anywhere                   ALLOW IN    1.4.8.0/21                
[34] Anywhere                   ALLOW IN    1.4.16.0/20               
[35] Anywhere                   ALLOW IN    1.4.32.0/19               
[36] Anywhere                   ALLOW IN    1.4.64.0/18               
[37] Anywhere                   ALLOW IN    1.8.0.0/16                
[38] Anywhere                   ALLOW IN    1.10.0.0/21               
[39] Anywhere                   ALLOW IN    1.10.8.0/23               
[40] Anywhere                   ALLOW IN    1.10.11.0/24              
[41] Anywhere                   ALLOW IN    1.10.12.0/22              
[42] Anywhere                   ALLOW IN    1.10.16.0/20              
[43] Anywhere                   ALLOW IN    1.10.32.0/19              
[44] Anywhere                   ALLOW IN    1.10.64.0/18              
[45] Anywhere                   ALLOW IN    1.12.16.0/20              
[46] Anywhere                   ALLOW IN    1.12.32.0/23              
[47] Anywhere                   ALLOW IN    1.12.36.0/22              
[48] Anywhere                   ALLOW IN    1.12.40.0/21              
[49] Anywhere                   ALLOW IN    1.12.48.0/20              
[50] Anywhere                   ALLOW IN    1.12.64.0/18              
[51] Anywhere                   ALLOW IN    1.12.128.0/17             
[52] Anywhere                   ALLOW IN    1.13.0.0/16               
[53] Anywhere                   ALLOW IN    1.14.0.0/15               
[54] Anywhere                   ALLOW IN    1.18.128.0/24             
[55] Anywhere                   ALLOW IN    1.24.0.0/13               
[56] Anywhere                   ALLOW IN    1.45.0.0/16               
[57] Anywhere                   ALLOW IN    1.48.0.0/14               
[58] Anywhere                   ALLOW IN    1.56.0.0/13               
[59] Anywhere                   ALLOW IN    1.68.0.0/14               
[60] Anywhere                   ALLOW IN    1.80.0.0/12               
[61] Anywhere                   ALLOW IN    1.116.0.0/15              
[62] Anywhere                   ALLOW IN    1.118.1.0/24              
[63] Anywhere                   ALLOW IN    1.118.2.0/23              
[64] Anywhere                   ALLOW IN    1.118.4.0/22              
[65] Anywhere                   ALLOW IN    1.118.8.0/21              
[66] Anywhere                   ALLOW IN    1.118.16.0/20             
[67] Anywhere                   ALLOW IN    1.118.33.0/24             
[68] Anywhere                   ALLOW IN    1.118.34.0/23             
[69] Anywhere                   ALLOW IN    1.118.36.0/22             
[70] Anywhere                   ALLOW IN    1.118.40.0/21             
[71] Anywhere                   ALLOW IN    1.118.48.0/20             
[72] Anywhere                   ALLOW IN    1.118.64.0/18             
[73] Anywhere                   ALLOW IN    1.118.128.0/17            
[74] Anywhere                   ALLOW IN    1.119.0.0/16              
[75] Anywhere                   ALLOW IN    1.180.0.0/14              
[76] Anywhere                   ALLOW IN    1.184.0.0/15              
[77] Anywhere                   ALLOW IN    1.188.0.0/14              
[78] Anywhere                   ALLOW IN    1.192.0.0/13              
[79] Anywhere                   ALLOW IN    1.202.0.0/15              
[80] Anywhere                   ALLOW IN    1.204.0.0/14              
[81] Anywhere                   ALLOW IN    3.5.214.0/23              
[82] Anywhere                   ALLOW IN    8.128.0.0/10              
[83] Anywhere                   ALLOW IN    13.104.184.80/28          
[84] Anywhere                   ALLOW IN    14.0.0.0/21               
[85] Anywhere                   ALLOW IN    14.0.12.0/22              
[86] Anywhere                   ALLOW IN    14.1.0.0/22               
[87] Anywhere                   ALLOW IN    14.1.24.0/22              
[88] Anywhere                   ALLOW IN    14.1.108.0/22             
[89] Anywhere                   ALLOW IN    14.16.0.0/12              
[90] Anywhere                   ALLOW IN    14.102.128.0/22           
[91] Anywhere                   ALLOW IN    14.102.180.0/22           
[92] Anywhere                   ALLOW IN    14.103.0.0/16             
[93] Anywhere                   ALLOW IN    14.104.0.0/13             
[94] Anywhere                   ALLOW IN    14.112.0.0/12             
[95] Anywhere                   ALLOW IN    14.130.0.0/15             
[96] Anywhere                   ALLOW IN    14.134.0.0/15             
[97] Anywhere                   ALLOW IN    14.144.0.0/12             
[98] Anywhere                   ALLOW IN    14.192.61.0/24            
[99] Anywhere                   ALLOW IN    14.192.62.0/23            
[100] Anywhere                   ALLOW IN    14.192.76.0/22            
[101] Anywhere                   ALLOW IN    14.196.0.0/15             
[102] Anywhere                   ALLOW IN    14.204.0.0/15             
[103] Anywhere                   ALLOW IN    14.208.0.0/12             
[104] Anywhere                   ALLOW IN    15.230.41.0/24            
[105] Anywhere                   ALLOW IN    15.230.49.0/24            
[106] Anywhere                   ALLOW IN    15.230.141.0/24           
[107] Anywhere                   ALLOW IN    17.127.128.0/23           
[108] Anywhere                   ALLOW IN    20.139.160.0/20           
[109] Anywhere                   ALLOW IN    20.249.255.0/24           
[110] Anywhere                   ALLOW IN    20.251.0.0/22             
[111] Anywhere                   ALLOW IN    20.253.4.0/24             
[112] Anywhere                   ALLOW IN    20.253.89.0/24            
[113] Anywhere                   ALLOW IN    20.255.255.0/24           
[114] Anywhere                   ALLOW IN    27.0.128.0/22             
[115] Anywhere                   ALLOW IN    27.0.132.0/24             
[116] Anywhere                   ALLOW IN    27.0.134.0/23             
[117] Anywhere                   ALLOW IN    27.0.160.0/21             
[118] Anywhere                   ALLOW IN    27.0.188.0/22             
[119] Anywhere                   ALLOW IN    27.0.204.0/22             
[120] Anywhere                   ALLOW IN    27.0.208.0/21             
[121] Anywhere                   ALLOW IN    27.8.0.0/13               
[122] Anywhere                   ALLOW IN    27.16.0.0/12              
[123] Anywhere                   ALLOW IN    27.34.232.0/21            
[124] Anywhere                   ALLOW IN    27.36.0.0/14              
[125] Anywhere                   ALLOW IN    27.40.0.0/13              
[126] Anywhere                   ALLOW IN    27.50.40.0/21             
[127] Anywhere                   ALLOW IN    27.50.128.0/17            
[128] Anywhere                   ALLOW IN    27.54.72.0/21             
[129] Anywhere                   ALLOW IN    27.54.152.0/21            
[130] Anywhere                   ALLOW IN    27.54.192.0/18            
[131] Anywhere                   ALLOW IN    27.98.208.0/20            
[132] Anywhere                   ALLOW IN    27.98.224.0/19            
[133] Anywhere                   ALLOW IN    27.99.128.0/17            
[134] Anywhere                   ALLOW IN    27.103.0.0/16             
[135] Anywhere                   ALLOW IN    27.106.128.0/18           
[136] Anywhere                   ALLOW IN    27.106.204.0/22           
[137] Anywhere                   ALLOW IN    27.109.32.0/19            
[138] Anywhere                   ALLOW IN    27.109.124.0/22           
[139] Anywhere                   ALLOW IN    27.112.0.0/18             
[140] Anywhere                   ALLOW IN    27.112.80.0/20            
[141] Anywhere                   ALLOW IN    27.112.112.0/21           
[142] Anywhere                   ALLOW IN    27.113.128.0/18           
